mdl_raw,mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_sec,sdc_score,ltk_raw,ltk_score,x2mr_finish,two_mr_sec,x2mr_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_time,age,hgt_in,wt_lb,bmi,sex,acft_score
300,90,10.6,87,47,87,1:28,88S,100,20,100,12:43:00,763,100,95,105,730,355,902,2.36,24,70,186,27.52483021,Male,564
300,90,11.4,93,40,80,1:16,76S,100,15,90,16:13:00,973,81,88,84,755,331,926,2.32,21,72,194,27.11408283,Male,534
240,78,10.2,85,32,72,1:36,96S,99,11,82,13:46:00,826,98,72,67,749,277,824,2.45,22,72,185,25.0070646,Male,514
260,82,8.6,74,56,96,1:37,97S,99,10,80,15:04:00,904,89,105,115,670,375,978,2.22,22,68,177,26.99533539,Male,520
240,78,9.6,81,37,77,1:29,89S,100,14,88,11:35:00,695,100,86,101,642,365,954,2.26,21,70,163,23.4369671,Male,524
260,82,9.8,82,31,71,1:32,92S,100,10,80,15:14:00,914,88,72,79,761,308,884,2.39,22,71,206,27.31749992,Male,503
340,100,13.5,100,38,78,1:28,88S,100,12,84,16:03:00,963,82,73,81,803,289,770,2.54,22,74,220,27.91940639,Male,544
220,74,7.9,70,26,68,1:53,113S,87,4,68,14:44:00,884,91,76,64,770,274,710,3.11,21,69,167,23.29318202,Male,458
260,82,11.8,95,54,94,1:26,86S,100,16,92,13:19:00,799,100,100,84,706,356,1000,2.06,23,68,172,25.90245822,Male,563
160,63,6.2,64,17,63,2:10,130S,70,0,0,19:03:00,1143,64,43,73,910,276,740,4.52,21,72,191,26.55502958,Female,324
260,82,8.7,75,40,80,1:43,103S,96,12,84,16:12:00,972,81,90,85,833,283,836,2.43,22,72,178,24.31881656,Male,498
260,82,6.8,66,37,77,1:40,100S,98,15,90,15:25:00,925,87,81,85,765,320,718,3.08,22,71,168,23.34047336,Male,500
240,78,9.5,80,23,66,1:42,102S,97,0,0,13:19:00,799,100,84,75,734,295,690,3.14,22,75,231,28.80813842,Male,421
240,78,9.5,80,32,72,1:42,102S,97,9,78,14:38:00,878,92,86,79,760,318,762,2.56,22,69,163,24.53115161,Male,497
300,90,8.4,73,55,95,1:37,97S,99,18,96,11:45:00,705,100,83,92,681,349,944,2.28,21,71,171,24.29967754,Male,553
220,74,8.6,74,27,68,1:40,100S,98,10,80,15:05:00,905,89,72,82,813,286,788,2.51,21,66,173,26.52448651,Male,483
300,90,9,77,36,76,1:34,94S,100,10,80,14:03:00,843,96,67,83,748,294,896,2.37,23,72,181,25.29715975,Male,519
260,82,11.9,96,41,81,1:17,77S,100,13,86,15:49:00,949,84,80,82,678,338,908,2.35,22,75,206,24.51764536,Male,529
260,82,9.8,82,35,75,1:30,90S,100,10,80,14:39:00,879,92,68,75,863,266,710,3.12,22,73,222,30.17156708,Male,511
160,63,6.8,66,8,50,2:10,130S,70,0,0,18:40:00,1120,66,44,70,922,284,758,4.29,21,68,157,24.17024215,Female,315
240,78,8.3,73,41,81,1:57,117S,83,10,80,15:42:00,942,85,85,82,852,283,718,3.1,22,68,175,27.30923463,Male,480
340,100,11.7,95,33,73,1:38,98S,99,20,100,14:51:00,891,90,89,87,795,290,848,2.42,22,70,180,25.59374321,Male,557
260,82,9.3,79,36,76,1:37,97S,99,13,86,14:13:00,853,95,74,85,761,313,940,2.29,22,69,172,25.15710288,Male,517
240,78,9.5,80,31,71,2:01,121S,79,11,82,18:01:00,1081,69,70,72,854,258,762,2.56,22,71,199,27.045684,Male,459
300,90,11.6,94,46,86,1:30,90S,100,19,98,16:25:00,985,80,90,93,802,294,800,2.49,21,73,209,28.26885564,Male,548
260,82,8.5,73,34,74,1:50,110S,90,7,74,16:48:00,1008,77,72,66,855,258,718,3.09,24,70,215,30.62622081,Male,470
340,100,9.5,80,37,77,1:29,89S,100,10,80,15:15:00,915,88,73,80,787,295,812,2.47,22,70,182,24.87786981,Male,525
300,90,10.4,86,30,70,1:32,92S,100,6,72,15:07:00,907,89,67,80,848,255,896,2.37,22,73,198,25.64873176,Male,507
150,62,5,62,17,63,2:28,148S,66,6,72,15:42:00,942,85,42,85,879,294,804,4.06,23,63,123,21.12398004,Female,410
170,64,5.7,63,18,64,2:26,146S,66,1,60,19:19:00,1159,64,54,90,1001,287,780,4.17,22,65,158,25.68052473,Female,381
